0;Метр,м;{"title":"метр","ratio":1,"idLess":"1","class":"length","conform":{"singNomn":"метр","singGent":"метра","singLoct":"метре","plurNomn":"метры","plurGent":"метров","plurLoct":"метрах"}}
1;Сантиметр,см;{"title":"сантиметр","ratio":0.01,"idLess":"3","class":"length","conform":{"singNomn":"сантиметр","singGent":"сантиметра","singLoct":"сантиметре","plurNomn":"сантиметры","plurGent":"сантиметров","plurLoct":"сантиметрах"}}
2;Километр,км;{"title":"километр","ratio":1000,"idLess":"0","class":"length","conform":{"singNomn":"километр","singGent":"километра","singLoct":"километре","plurNomn":"километры","plurGent":"километров","plurLoct":"километрах"}}
3;Миллиметр,мм;{"title":"миллиметр","ratio":0.001,"idLess":"4","class":"length","conform":{"singNomn":"миллиметр","singGent":"миллиметра","singLoct":"миллиметре","plurNomn":"миллиметры","plurGent":"миллиметров","plurLoct":"миллиметрах"}}
4;Микрометр,мкм;{"title":"микрометр","ratio":0.000001,"idLess":"9","class":"length","conform":{"singNomn":"микрометр","singGent":"микрометра","singLoct":"микрометре","plurNomn":"микрометры","plurGent":"микрометров","plurLoct":"микрометрах"}}
5;Миля;{"title":"миля","ratio":1609.344,"idLess":"6","group":"En","localratio":5280,"class":"length","conform":{"singNomn":"миля","singGent":"мили","singLoct":"миле","plurNomn":"мили","plurGent":"миль","plurLoct":"милях"}}
6;Ярд;{"title":"ярд","ratio":0.9144,"idLess":"7","group":"En","localratio":3,"class":"length","conform":{"singNomn":"ярд","singGent":"ярда","singLoct":"ярде","plurNomn":"ярды","plurGent":"ярдов","plurLoct":"ярдах"}}
7;Фут;{"title":"фут","ratio":0.3048,"idLess":"8","group":"En","localratio":1,"class":"length","conform":{"singNomn":"фут","singGent":"фута","singLoct":"футе","plurNomn":"футы","plurGent":"футов","plurLoct":"футах"}}
8;Дюйм;{"title":"дюйм","ratio":0.0254,"group":"En","localratio":0.08333333333333333333333,"class":"length","conform":{"singNomn":"дюйм","singGent":"дюйма","singLoct":"дюйме","plurNomn":"дюймы","plurGent":"дюймов","plurLoct":"дюймах"}}
9;Нанометр,нм;{"title":"нанометр","ratio":0.000000001,"class":"length","conform":{"singNomn":"нанометр","singGent":"нанометра","singLoct":"нанометре","plurNomn":"нанометры","plurGent":"нанометров","plurLoct":"нанометрах"}}
10;Световой год;{"title":"световой год","ratio":9460660000000000,"class":"length","conform":{"singNomn":"световой год","singGent":"световых года","singLoct":"световом годе","plurNomn":"световые года","plurGent":"световых лет","plurLoct":"световых годах"}}
11;Дециметр, дм;{"title":"дециметр","ratio":0.1,"idLess":"1","AvoidUnit":"true","class":"length","conform":{"singNomn":"дециметр","singGent":"дециметра","singLoct":"дециметре","plurNomn":"дециметры","plurGent":"дециметров","plurLoct":"дециметрах"}}
